類別：所有類別

天,力麒: (台灣)
2023-10-06,<1
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,0
2023-10-12,<1
2023-10-13,0
2023-10-14,0
2023-10-15,<1
2023-10-16,<1
2023-10-17,0
2023-10-18,0
2023-10-19,0
2023-10-20,<1
2023-10-21,<1
2023-10-22,<1
2023-10-23,0
2023-10-24,0
2023-10-25,<1
2023-10-26,0
2023-10-27,0
2023-10-28,<1
2023-10-29,0
2023-10-30,100
2023-10-31,<1
2023-11-01,0
2023-11-02,0
